host_gene_id,nested_gene_id,nested_gene_name,nested_gene_type,chromosome,nested_start,nested_end,intron_start,intron_end,transcript_id
ENSG00000310526.1,ENSG00000278267.1,MIR6859-1,miRNA,chr1,17369,17436,17369,17605,ENST00000831201.1
ENSG00000227232.6,ENSG00000278267.1,MIR6859-1,miRNA,chr1,17369,17436,17369,17605,ENST00000488147.2
ENSG00000290825.2,ENSG00000278267.1,MIR6859-1,miRNA,chr1,17369,17436,14765,24845,ENST00000832823.1
ENSG00000310526.1,ENSG00000284332.1,MIR1302-2,miRNA,chr1,30366,30503,18370,30662,ENST00000831520.1
ENSG00000243485.6,ENSG00000284332.1,MIR1302-2,miRNA,chr1,30366,30503,29207,30563,ENST00000834618.1
ENSG00000241860.8,ENSG00000308314.1,ENSG00000308314,lncRNA,chr1,96638,105742,92241,112699,ENST00000466430.5
ENSG00000241860.8,ENSG00000233750.3,CICP27,processed_pseudogene,chr1,131025,134836,92241,165883,ENST00000831081.1
ENSG00000241860.8,ENSG00000308579.1,ENSG00000308579,lncRNA,chr1,134914,136246,92241,165883,ENST00000831081.1
ENSG00000241860.8,ENSG00000268903.1,ENSG00000268903,transcribed_processed_pseudogene,chr1,135141,135895,92241,165883,ENST00000831081.1
ENSG00000241860.8,ENSG00000269981.1,ENSG00000269981,transcribed_processed_pseudogene,chr1,137682,137965,92241,165883,ENST00000831081.1
ENSG00000241860.8,ENSG00000239906.1,ENSG00000239906,lncRNA,chr1,139790,140339,92241,165883,ENST00000831081.1
ENSG00000310528.1,ENSG00000222623.1,RNU6-1100P,snRNA,chr1,157784,157887,155832,164262,ENST00000466557.7
ENSG00000241860.8,ENSG00000222623.1,RNU6-1100P,snRNA,chr1,157784,157887,92241,165883,ENST00000831081.1
ENSG00000310528.1,ENSG00000241599.1,ENSG00000241599,lncRNA,chr1,160446,161525,155832,164262,ENST00000466557.7
ENSG00000241860.8,ENSG00000241599.1,ENSG00000241599,lncRNA,chr1,160446,161525,92241,165883,ENST00000831081.1
ENSG00000310528.1,ENSG00000308415.1,DDX11L2,lncRNA,chr1,180931,184937,173863,187128,ENST00000466557.7
ENSG00000310527.1,ENSG00000279928.2,DDX11L17,transcribed_unprocessed_pseudogene,chr1,182696,184174,182595,186316,ENST00000831131.1
ENSG00000310528.1,ENSG00000279928.2,DDX11L17,transcribed_unprocessed_pseudogene,chr1,182696,184174,173863,187128,ENST00000466557.7
ENSG00000310528.1,ENSG00000273874.1,MIR6859-2,miRNA,chr1,187891,187958,187578,188438,ENST00000466557.7
ENSG00000310527.1,ENSG00000273874.1,MIR6859-2,miRNA,chr1,187891,187958,187891,188129,ENST00000831159.1
ENSG00000279457.4,ENSG00000273874.1,MIR6859-2,miRNA,chr1,187891,187958,187891,188129,ENST00000623083.4
ENSG00000310527.1,ENSG00000308625.1,ENSG00000308625,lncRNA,chr1,199108,199882,188893,200339,ENST00000831136.1
ENSG00000292994.2,ENSG00000286448.2,ENSG00000286448,lncRNA,chr1,266753,284291,259026,356684,ENST00000441866.2
ENSG00000292994.2,ENSG00000236679.2,RPL23AP24,transcribed_processed_pseudogene,chr1,347982,348366,259026,356684,ENST00000441866.2
ENSG00000290385.2,ENSG00000269732.1,WBP1LP7,processed_pseudogene,chr1,439870,440232,379871,485039,ENST00000455207.5
ENSG00000290385.2,ENSG00000284733.2,OR4F29,protein_coding,chr1,450740,451678,379871,485039,ENST00000455207.5
ENSG00000290385.2,ENSG00000237094.13,ENSG00000237094,transcribed_unprocessed_pseudogene,chr1,485026,485208,476946,524479,ENST00000796423.1
ENSG00000290385.2,ENSG00000233653.3,CICP7,transcribed_processed_pseudogene,chr1,487101,489906,485209,497108,ENST00000455464.7
ENSG00000290385.2,ENSG00000250575.1,ENSG00000250575,unprocessed_pseudogene,chr1,491225,493241,485209,497108,ENST00000455464.7
ENSG00000290385.2,ENSG00000278757.1,U6,snRNA,chr1,516376,516479,514424,517184,ENST00000641303.1
ENSG00000293331.2,ENSG00000235146.3,ENSG00000235146,lncRNA,chr1,587577,595116,586956,601397,ENST00000781687.1
ENSG00000225880.7,ENSG00000235146.3,ENSG00000235146,lncRNA,chr1,587577,595116,586956,703684,ENST00000419394.2
ENSG00000293331.2,ENSG00000225972.1,MTND1P23,unprocessed_pseudogene,chr1,629062,629433,629007,633043,ENST00000440196.3
ENSG00000225880.7,ENSG00000225972.1,MTND1P23,unprocessed_pseudogene,chr1,629062,629433,586956,703684,ENST00000419394.2
ENSG00000293331.2,ENSG00000225630.1,MTND2P28,unprocessed_pseudogene,chr1,629640,630683,629007,633043,ENST00000440196.3
ENSG00000225880.7,ENSG00000225630.1,MTND2P28,unprocessed_pseudogene,chr1,629640,630683,586956,703684,ENST00000419394.2
ENSG00000293331.2,ENSG00000237973.1,MTCO1P12,unprocessed_pseudogene,chr1,631074,632616,629007,633043,ENST00000440196.3
ENSG00000225880.7,ENSG00000237973.1,MTCO1P12,unprocessed_pseudogene,chr1,631074,632616,586956,703684,ENST00000419394.2
ENSG00000293331.2,ENSG00000278791.1,ENSG00000278791,miRNA,chr1,632325,632413,629007,633043,ENST00000440196.3
ENSG00000225880.7,ENSG00000278791.1,ENSG00000278791,miRNA,chr1,632325,632413,586956,703684,ENST00000419394.2
ENSG00000225880.7,ENSG00000229344.1,MTCO2P12,unprocessed_pseudogene,chr1,632757,633438,586956,703684,ENST00000419394.2
ENSG00000225880.7,ENSG00000240409.1,MTATP8P1,unprocessed_pseudogene,chr1,633535,633741,586956,703684,ENST00000419394.2
ENSG00000225880.7,ENSG00000248527.1,MTATP6P1,unprocessed_pseudogene,chr1,633696,634376,586956,703684,ENST00000419394.2
ENSG00000225880.7,ENSG00000198744.5,MTCO3P12,unprocessed_pseudogene,chr1,634376,634922,586956,703684,ENST00000419394.2
ENSG00000225880.7,ENSG00000268663.1,WBP1LP6,processed_pseudogene,chr1,674842,675265,586956,703684,ENST00000419394.2
ENSG00000225880.7,ENSG00000284662.2,OR4F16,protein_coding,chr1,685716,686654,586956,703684,ENST00000419394.2
ENSG00000225880.7,ENSG00000230021.11,ENSG00000230021,transcribed_processed_pseudogene,chr1,720024,720206,711923,766328,ENST00000743821.1
ENSG00000225880.7,ENSG00000229376.3,CICP3,processed_pseudogene,chr1,722092,724903,720201,732016,ENST00000648019.1
ENSG00000225880.7,ENSG00000223181.1,RNU6-1199P,snRNA,chr1,758233,758336,756142,758966,ENST00000506640.4
ENSG00000225880.7,ENSG00000229905.1,ENSG00000229905,lncRNA,chr1,760911,761989,759124,764722,ENST00000506640.4
ENSG00000225880.7,ENSG00000228327.6,ENSG00000228327,transcribed_unprocessed_pseudogene,chr1,764723,774280,711923,827669,ENST00000635509.2
ENSG00000225880.7,ENSG00000237491.11,LINC01409,lncRNA,chr1,778739,810066,711923,827669,ENST00000635509.2
ENSG00000237491.11,ENSG00000285268.1,ENSG00000285268,transcribed_processed_pseudogene,chr1,781937,782050,779093,786392,ENST00000665867.2
ENSG00000225880.7,ENSG00000285268.1,ENSG00000285268,transcribed_processed_pseudogene,chr1,781937,782050,711923,827669,ENST00000635509.2
ENSG00000225880.7,ENSG00000230092.8,ENSG00000230092,transcribed_unprocessed_pseudogene,chr1,805799,810161,711923,827669,ENST00000635509.2
ENSG00000225880.7,ENSG00000177757.3,FAM87B,lncRNA,chr1,817363,819842,805892,827483,ENST00000743823.1
ENSG00000228794.13,ENSG00000297178.1,ENSG00000297178,lncRNA,chr1,833098,835618,825553,847653,ENST00000624927.3
ENSG00000228794.13,ENSG00000297224.1,ENSG00000297224,lncRNA,chr1,850902,852130,826924,852670,ENST00000744866.1
ENSG00000230368.3,ENSG00000234711.1,TUBB8P11,unprocessed_pseudogene,chr1,873292,874349,869576,875039,ENST00000745842.1
ENSG00000272438.2,ENSG00000298603.1,ENSG00000298603,lncRNA,chr1,908073,910592,904962,915318,ENST00000756421.1
ENSG00000187608.11,ENSG00000303614.1,ENSG00000303614,lncRNA,chr1,1004058,1006442,1001282,1008193,ENST00000624697.4
ENSG00000187608.11,ENSG00000224969.1,ENSG00000224969,lncRNA,chr1,1011997,1013193,1008280,1013983,ENST00000624697.4
ENSG00000291156.2,ENSG00000273443.2,ENSG00000273443,lncRNA,chr1,1061267,1064278,1060394,1065829,ENST00000692821.3
ENSG00000131591.20,ENSG00000285812.1,ENSG00000285812,lncRNA,chr1,1097585,1104598,1092104,1105955,ENST00000379319.6
ENSG00000078808.22,ENSG00000176022.7,B3GALT6,protein_coding,chr1,1232237,1235041,1228947,1238326,ENST00000900948.1
ENSG00000131584.21,ENSG00000278073.1,MIR6726,miRNA,chr1,1296110,1296170,1296110,1296210,ENST00000969103.2
ENSG00000127054.24,ENSG00000283712.1,MIR6727,miRNA,chr1,1312502,1312566,1312502,1312592,ENST00000470030.6
ENSG00000127054.24,ENSG00000240731.1,ENSG00000240731,lncRNA,chr1,1317581,1318689,1315619,1324580,ENST00000421495.7
ENSG00000107404.23,ENSG00000284372.1,MIR6808,miRNA,chr1,1339650,1339708,1339650,1339735,ENST00000378891.10
ENSG00000304860.1,ENSG00000162576.19,MXRA8,protein_coding,chr1,1352683,1361800,1348355,1362031,ENST00000806656.1
ENSG00000242485.8,ENSG00000264293.2,RN7SL657P,misc_RNA,chr1,1405460,1405752,1402257,1405808,ENST00000983179.1
ENSG00000299413.1,ENSG00000160075.14,SSU72,protein_coding,chr1,1541673,1574887,1539810,1592104,ENST00000763257.1
ENSG00000299413.1,ENSG00000215014.5,SSU72-AS1,lncRNA,chr1,1574102,1577075,1539810,1592104,ENST00000763257.1
ENSG00000299413.1,ENSG00000274481.1,SRXN1P2,processed_pseudogene,chr1,1583510,1583909,1539810,1592104,ENST00000763257.1
ENSG00000189339.14,ENSG00000293187.1,ENSG00000293187,lncRNA,chr1,1671990,1673411,1671630,1675462,ENST00000904337.1
ENSG00000189339.14,ENSG00000269737.3,ENSG00000269737,transcribed_processed_pseudogene,chr1,1673275,1674397,1671630,1675462,ENST00000904337.1
ENSG00000290854.2,ENSG00000227775.4,ENSG00000227775,transcribed_processed_pseudogene,chr1,1735817,1737251,1734836,1738320,ENST00000647043.1
ENSG00000215790.9,ENSG00000227775.4,ENSG00000227775,transcribed_processed_pseudogene,chr1,1735817,1737251,1734836,1738320,ENST00000643943.1
ENSG00000231050.4,ENSG00000303984.1,ENSG00000303984,lncRNA,chr1,1891400,1891754,1891253,1892027,ENST00000798456.1
ENSG00000078369.21,ENSG00000303984.1,ENSG00000303984,lncRNA,chr1,1891400,1891754,1839239,1891997,ENST00000703696.2
ENSG00000067606.19,ENSG00000308181.1,ENSG00000308181,lncRNA,chr1,2103345,2104917,2098547,2135261,ENST00001012035.1
ENSG00000067606.19,ENSG00000271806.1,ENSG00000271806,lncRNA,chr1,2141084,2145279,2135348,2146026,ENST00001012034.1
ENSG00000067606.19,ENSG00000182873.5,PRKCZ-AS1,lncRNA,chr1,2181794,2184389,2175314,2184509,ENST00001012036.1
ENSG00000162585.19,ENSG00000304038.1,ENSG00000304038,lncRNA,chr1,2207046,2208854,2203631,2212371,ENST00000487186.5
ENSG00000234396.3,ENSG00000304143.1,ENSG00000304143,lncRNA,chr1,2212965,2214206,2212645,2220534,ENST00000442483.2
ENSG00000157933.13,ENSG00000295493.1,ENSG00000295493,lncRNA,chr1,2300846,2301069,2229736,2302977,ENST00000851187.2
ENSG00000116151.16,ENSG00000272161.1,ENSG00000272161,lncRNA,chr1,2326201,2326693,2324144,2336468,ENST00000963690.2
